species	longitude	latitude
Streptanthus_tortuosus	-122.55	41.13
Streptanthus_tortuosus	-122.33	41.17
Streptanthus_tortuosus	-122.55	38.46
Streptanthus_tortuosus	-123.45	41.28
Streptanthus_tortuosus	-123.02	40.97
Streptanthus_tortuosus	-121.52	40.47
Streptanthus_tortuosus	-120.15	37.64
Streptanthus_tortuosus	-120.15	37.63
Streptanthus_tortuosus	-121.55	39.6
Streptanthus_tortuosus	-120.03	38.89
Streptanthus_tortuosus	-120.33	39.33
Streptanthus_tortuosus	-123.03	40.86
Streptanthus_tortuosus	-123	40.88
Streptanthus_tortuosus	-119.12	37.27
Streptanthus_tortuosus	-122.82	38.66
Streptanthus_tortuosus	-123.55	40.3
Streptanthus_tortuosus	-123.14	40.33
Streptanthus_tortuosus	-122.9	40.25
Streptanthus_tortuosus	-123.06	40.46
Streptanthus_tortuosus	-119.11	37.3
Streptanthus_tortuosus	-120.14	37.62
Streptanthus_tortuosus	-123.47	40.81
Streptanthus_tortuosus	-122.95	41.78
Streptanthus_tortuosus	-123.49	41.75
Streptanthus_tortuosus	-121.5	40.48
Streptanthus_tortuosus	-118.64	37.19
Streptanthus_tortuosus	-119.28	37.95
Streptanthus_tortuosus	-121.06	40.02
Streptanthus_tortuosus	-119.1	37.3
Streptanthus_tortuosus	-119.08	37.65
Streptanthus_tortuosus	-123.14	41.58
Streptanthus_tortuosus	-119.24	37.94
Streptanthus_tortuosus	-118.6	36.43
Streptanthus_tortuosus	-119.24	37.35
Streptanthus_tortuosus	-122.99	40.24
Streptanthus_tortuosus	-123.01	40.17
Streptanthus_tortuosus	-118.56	36.4
Streptanthus_tortuosus	-123.56	40.84
Streptanthus_tortuosus	-122.86	40.03
Streptanthus_tortuosus	-119.1	37.29
Streptanthus_tortuosus	-118.86	37.35
Streptanthus_tortuosus	-119.74	37.54
Streptanthus_tortuosus	-123.16	41.03
Streptanthus_tortuosus	-123.15	40.92
Streptanthus_tortuosus	-118.73	37.18
Streptanthus_tortuosus	-119.99	38.19
Streptanthus_tortuosus	-118.69	37.16
Streptanthus_tortuosus	-119.07	37.16
Streptanthus_tortuosus	-121.5	40.48
Streptanthus_tortuosus	-118.88	37.47
Streptanthus_tortuosus	-119.96	37.97
Streptanthus_tortuosus	-119.11	37.3
Streptanthus_tortuosus	-119.91	37.67
Streptanthus_tortuosus	-119.88	37.46
Streptanthus_tortuosus	-120.2	38.07
Streptanthus_tortuosus	-120.12	38.81
Streptanthus_tortuosus	-122.95	39.82
Streptanthus_tortuosus	-118.84	37.35
Streptanthus_tortuosus	-119.02	37.46
Streptanthus_tortuosus	-119.3	37.97
Streptanthus_tortuosus	-118.98	37.45
Streptanthus_tortuosus	-121.5	36.05
Streptanthus_tortuosus	-121.49	36.06
Streptanthus_tortuosus	-121.33	40
Streptanthus_tortuosus	-122.8	41.32
Streptanthus_tortuosus	-121.11	40.01
Streptanthus_tortuosus	-122.97	41.02
Streptanthus_tortuosus	-121.5	41.6
Streptanthus_tortuosus	-120.15	37.65
Streptanthus_tortuosus	-119.82	38.34
Streptanthus_tortuosus	-120.11	38.42
Streptanthus_tortuosus	-120.32	39.31
Streptanthus_tortuosus	-118.46	36.95
Streptanthus_tortuosus	-119.74	37.75
Streptanthus_tortuosus	-118.85	37.3
Streptanthus_tortuosus	-119.22	37.1
Streptanthus_tortuosus	-119.8	37.76
Streptanthus_tortuosus	-120.41	38.08
Streptanthus_tortuosus	-120.77	40.93
Streptanthus_tortuosus	-121.45	40.45
Streptanthus_tortuosus	-119.09	37.73
Streptanthus_tortuosus	-118.8	37.15
Streptanthus_tortuosus	-118.76	37.1
Streptanthus_tortuosus	-118.8	37.21
Streptanthus_tortuosus	-118.77	37.13
Streptanthus_tortuosus	-121.14	35.7
Streptanthus_tortuosus	-120.86	39.18
Streptanthus_tortuosus	-120.24	38.03
Streptanthus_tortuosus	-121.5	36.05
Streptanthus_tortuosus	-122.32	40.81
Streptanthus_tortuosus	-122.36	41.36
Streptanthus_tortuosus	-119.62	37.72
Streptanthus_tortuosus	-119.76	37.7
Streptanthus_tortuosus	-123.15	40.87
Streptanthus_tortuosus	-118.86	36.71
Streptanthus_tortuosus	-118.78	37.45
Streptanthus_tortuosus	-120.49	39.36
Streptanthus_tortuosus	-118.45	36.95
Streptanthus_tortuosus	-119.26	37.21
Streptanthus_tortuosus	-119.31	37.65
Streptanthus_tortuosus	-119.62	37.66
Streptanthus_tortuosus	-120.04	38.66
Streptanthus_tortuosus	-119.05	37.15
Streptanthus_tortuosus	-118.91	37.35
Streptanthus_tortuosus	-120.05	38.93
Streptanthus_tortuosus	-120.66	39.7
Streptanthus_tortuosus	-122.2	41.36
Streptanthus_tortuosus	-119.66	37.54
Streptanthus_tortuosus	-119.65	37.67
Streptanthus_tortuosus	-120.95	39.85
Streptanthus_tortuosus	-119.28	37.97
Streptanthus_tortuosus	-122.64	40.66
Streptanthus_tortuosus	-120.27	37.75
Streptanthus_tortuosus	-118.81	36.81
Streptanthus_tortuosus	-121.57	40.45
Streptanthus_tortuosus	-122.2	41.37
Streptanthus_tortuosus	-121.52	40.47
Streptanthus_tortuosus	-121.77	38.33
Streptanthus_tortuosus	-121.49	41.62
Streptanthus_tortuosus	-119.67	38.32
Streptanthus_tortuosus	-119.28	37.98
Streptanthus_tortuosus	-120.49	39.41
Streptanthus_tortuosus	-120.46	37.65
Streptanthus_tortuosus	-120.75	39.36
Streptanthus_tortuosus	-121.08	39.3
Streptanthus_tortuosus	-121.71	36.3
Streptanthus_tortuosus	-119.87	37.66
Streptanthus_tortuosus	-122.36	41.36
Streptanthus_tortuosus	-119.91	38.78
Streptanthus_tortuosus	-120.32	38.54
Streptanthus_tortuosus	-119.1	37.29
Streptanthus_tortuosus	-119.52	37.29
Streptanthus_tortuosus	-120.62	39.38
Streptanthus_tortuosus	-120.41	39.15
Streptanthus_tortuosus	-119.68	38.13
Streptanthus_tortuosus	-118.48	36.11
Streptanthus_tortuosus	-118.79	36.61
Streptanthus_tortuosus	-119.99	38.69
Streptanthus_tortuosus	-119.25	37.94
Streptanthus_tortuosus	-119.28	37.97
Streptanthus_tortuosus	-120.15	37.63
Streptanthus_tortuosus	-120.58	37.9
Streptanthus_tortuosus	-121.09	39.23
Streptanthus_tortuosus	-121.36	39.9
Streptanthus_tortuosus	-120.03	38.82
Streptanthus_tortuosus	-118.88	36.67
Streptanthus_tortuosus	-120.16	38.79
Streptanthus_tortuosus	-119.71	38.33
Streptanthus_tortuosus	-119.58	37.84
Streptanthus_tortuosus	-119.78	37.68
Streptanthus_tortuosus	-120.35	37.84
Streptanthus_tortuosus	-120.08	38.88
Streptanthus_tortuosus	-118.48	36.14
Streptanthus_tortuosus	-118.88	36.83
Streptanthus_tortuosus	-123.94	40.71
Streptanthus_tortuosus	-120.57	39.33
Streptanthus_tortuosus	-120.65	39.42
Streptanthus_tortuosus	-118.53	36.07
Streptanthus_tortuosus	-118.82	36.64
Streptanthus_tortuosus	-118.83	36.67
Streptanthus_tortuosus	-118.74	35.89
Streptanthus_tortuosus	-121.43	39.55
Streptanthus_tortuosus	-121.54	39.6
Streptanthus_tortuosus	-123.01	40.74
Streptanthus_tortuosus	-119.54	38.33
Streptanthus_tortuosus	-122.95	41.02
Streptanthus_tortuosus	-118.58	36.44
Streptanthus_tortuosus	-119.33	37.59
Streptanthus_tortuosus	-118.9	36.83
Streptanthus_tortuosus	-122.99	41.4
Streptanthus_tortuosus	-121.28	39.97
Streptanthus_tortuosus	-122.21	41.36
Streptanthus_tortuosus	-123.22	41.41
Streptanthus_tortuosus	-119.29	37.97
Streptanthus_tortuosus	-122.52	41.2
Streptanthus_tortuosus	-120.01	38.74
Streptanthus_tortuosus	-119.1	37.29
Streptanthus_tortuosus	-120.5	39.41
Streptanthus_tortuosus	-119.29	37.95
Streptanthus_tortuosus	-118.72	36.6
Streptanthus_tortuosus	-120.83	39.56
Streptanthus_tortuosus	-118.74	35.89
Streptanthus_tortuosus	-120.39	39.33
Streptanthus_tortuosus	-123.16	41.02
Streptanthus_tortuosus	-122.34	41.35
Streptanthus_tortuosus	-122.94	39.79
Streptanthus_tortuosus	-123.72	41.81
Streptanthus_tortuosus	-123.22	41.41
Streptanthus_tortuosus	-120.92	39.09
Streptanthus_tortuosus	-120.79	39
