species,latitude,longitude,year
Streptanthus_tortuosus,37.54,-119.74,1952
Streptanthus_tortuosus,41.03,-123.16,1952
Streptanthus_tortuosus,40.92,-123.15,1952
Streptanthus_tortuosus,37.18,-118.73,1952
Streptanthus_tortuosus,38.19,-119.99,1952
Streptanthus_tortuosus,37.16,-118.69,1952
Streptanthus_tortuosus,37.16,-119.07,1952
Streptanthus_tortuosus,40.48,-121.5,1952
Streptanthus_tortuosus,37.47,-118.88,1952
Streptanthus_tortuosus,37.97,-119.96,1953
Streptanthus_tortuosus,37.3,-119.11,1953
Streptanthus_tortuosus,37.67,-119.91,1954
Streptanthus_tortuosus,37.46,-119.88,1954
Streptanthus_tortuosus,38.07,-120.2,1954
Streptanthus_tortuosus,38.81,-120.12,1954
Streptanthus_tortuosus,39.82,-122.95,1954
Streptanthus_tortuosus,37.35,-118.84,1954
Streptanthus_tortuosus,37.46,-119.02,1954
Streptanthus_tortuosus,37.97,-119.3,1954
Streptanthus_tortuosus,37.45,-118.98,1954
Streptanthus_tortuosus,36.05,-121.5,1955
Streptanthus_tortuosus,36.06,-121.49,1955
Streptanthus_tortuosus,40,-121.33,1955
Streptanthus_tortuosus,41.32,-122.8,1955
Streptanthus_tortuosus,40.01,-121.11,1955
Streptanthus_tortuosus,41.02,-122.97,1955
Streptanthus_tortuosus,41.6,-121.5,1956
Streptanthus_tortuosus,37.65,-120.15,1956
Streptanthus_tortuosus,38.34,-119.82,1956
Streptanthus_tortuosus,38.42,-120.11,1956
Streptanthus_tortuosus,39.31,-120.32,1956
Streptanthus_tortuosus,36.95,-118.46,1956
Streptanthus_tortuosus,37.75,-119.74,1956
Streptanthus_tortuosus,37.3,-118.85,1956
Streptanthus_tortuosus,37.1,-119.22,1956
Streptanthus_tortuosus,37.76,-119.8,1957
Streptanthus_tortuosus,38.08,-120.41,1957
Streptanthus_tortuosus,40.93,-120.77,1957
Streptanthus_tortuosus,40.45,-121.45,1957
Streptanthus_tortuosus,37.73,-119.09,1957
Streptanthus_tortuosus,37.15,-118.8,1957
Streptanthus_tortuosus,37.1,-118.76,1957
Streptanthus_tortuosus,37.21,-118.8,1957
Streptanthus_tortuosus,37.13,-118.77,1957
Streptanthus_tortuosus,35.7,-121.14,1957
Streptanthus_tortuosus,39.18,-120.86,1958
Streptanthus_tortuosus,38.03,-120.24,1958
Streptanthus_tortuosus,36.05,-121.5,1958
Streptanthus_tortuosus,40.81,-122.32,1958
Streptanthus_tortuosus,41.36,-122.36,1958
Streptanthus_tortuosus,37.72,-119.62,1958
Streptanthus_tortuosus,37.7,-119.76,1958
Streptanthus_tortuosus,40.87,-123.15,1958
Streptanthus_tortuosus,36.71,-118.86,1958
Streptanthus_tortuosus,37.45,-118.78,1958
Streptanthus_tortuosus,39.36,-120.49,1958
Streptanthus_tortuosus,36.95,-118.45,1958
Streptanthus_tortuosus,37.21,-119.26,1958
Streptanthus_tortuosus,37.65,-119.31,1958
Streptanthus_tortuosus,37.66,-119.62,1958
Streptanthus_tortuosus,38.66,-120.04,1958
Streptanthus_tortuosus,37.15,-119.05,1958
Streptanthus_tortuosus,37.35,-118.91,1958
Streptanthus_tortuosus,38.93,-120.05,1959
Streptanthus_tortuosus,39.7,-120.66,1959
Streptanthus_tortuosus,41.36,-122.2,1959
Streptanthus_tortuosus,37.54,-119.66,1959
Streptanthus_tortuosus,37.67,-119.65,1959
Streptanthus_tortuosus,39.85,-120.95,1959
Streptanthus_tortuosus,37.97,-119.28,1959
Streptanthus_tortuosus,40.66,-122.64,1960
Streptanthus_tortuosus,37.75,-120.27,1960
Streptanthus_tortuosus,36.81,-118.81,1960
Streptanthus_tortuosus,40.45,-121.57,1960
Streptanthus_tortuosus,41.37,-122.2,1960
Streptanthus_tortuosus,40.47,-121.52,1960
Streptanthus_tortuosus,38.33,-121.77,1961
Streptanthus_tortuosus,41.62,-121.49,1961
Streptanthus_tortuosus,38.32,-119.67,1961
Streptanthus_tortuosus,37.98,-119.28,1961
Streptanthus_tortuosus,39.41,-120.49,1961
Streptanthus_tortuosus,37.65,-120.46,1962
Streptanthus_tortuosus,39.36,-120.75,1962
Streptanthus_tortuosus,39.3,-121.08,1962
Streptanthus_tortuosus,36.3,-121.71,1962
Streptanthus_tortuosus,37.66,-119.87,1962
Streptanthus_tortuosus,41.36,-122.36,1962
Streptanthus_tortuosus,38.78,-119.91,1962
Streptanthus_tortuosus,38.54,-120.32,1962
Streptanthus_tortuosus,37.29,-119.1,1962
Streptanthus_tortuosus,37.29,-119.52,1962
Streptanthus_tortuosus,39.38,-120.62,1962
Streptanthus_tortuosus,39.15,-120.41,1962
Streptanthus_tortuosus,38.13,-119.68,1962
Streptanthus_tortuosus,36.11,-118.48,1962
Streptanthus_tortuosus,36.61,-118.79,1962
Streptanthus_tortuosus,38.69,-119.99,1962
Streptanthus_tortuosus,37.94,-119.25,1962
Streptanthus_tortuosus,37.97,-119.28,1962
Streptanthus_tortuosus,37.63,-120.15,1963
Streptanthus_tortuosus,37.9,-120.58,1963
Streptanthus_tortuosus,39.23,-121.09,1963
Streptanthus_tortuosus,39.9,-121.36,1963
Streptanthus_tortuosus,38.82,-120.03,1963
Streptanthus_tortuosus,36.67,-118.88,1963
Streptanthus_tortuosus,38.79,-120.16,1963
Streptanthus_tortuosus,38.33,-119.71,1963
Streptanthus_tortuosus,37.84,-119.58,1963
Streptanthus_tortuosus,37.68,-119.78,1964
Streptanthus_tortuosus,37.84,-120.35,1964
Streptanthus_tortuosus,38.88,-120.08,1964
Streptanthus_tortuosus,36.14,-118.48,1964
Streptanthus_tortuosus,36.83,-118.88,1965
Streptanthus_tortuosus,40.71,-123.94,1965
Streptanthus_tortuosus,39.33,-120.57,1965
Streptanthus_tortuosus,39.42,-120.65,1965
Streptanthus_tortuosus,36.07,-118.53,1965
Streptanthus_tortuosus,36.64,-118.82,1965
Streptanthus_tortuosus,36.67,-118.83,1965
Streptanthus_tortuosus,35.89,-118.74,1966
Streptanthus_tortuosus,39.55,-121.43,1966
Streptanthus_tortuosus,39.6,-121.54,1966
Streptanthus_tortuosus,40.74,-123.01,1966
Streptanthus_tortuosus,38.33,-119.54,1966
Streptanthus_tortuosus,41.02,-122.95,1966
Streptanthus_tortuosus,36.44,-118.58,1966
Streptanthus_tortuosus,37.59,-119.33,1966
Streptanthus_tortuosus,36.83,-118.9,1967
Streptanthus_tortuosus,41.4,-122.99,1967
Streptanthus_tortuosus,39.97,-121.28,1967
Streptanthus_tortuosus,41.36,-122.21,1967
Streptanthus_tortuosus,41.41,-123.22,1967
Streptanthus_tortuosus,37.97,-119.29,1967
Streptanthus_tortuosus,41.2,-122.52,1967
Streptanthus_tortuosus,38.74,-120.01,1967
Streptanthus_tortuosus,37.29,-119.1,1967
Streptanthus_tortuosus,39.41,-120.5,1967
Streptanthus_tortuosus,37.95,-119.29,1967
Streptanthus_tortuosus,36.6,-118.72,1967
Streptanthus_tortuosus,39.56,-120.83,1967
Streptanthus_tortuosus,35.89,-118.74,1968
Streptanthus_tortuosus,39.33,-120.39,1968
Streptanthus_tortuosus,41.02,-123.16,1968
Streptanthus_tortuosus,41.35,-122.34,1968
Streptanthus_tortuosus,39.79,-122.94,1968
Streptanthus_tortuosus,41.81,-123.72,1968
Streptanthus_tortuosus,41.41,-123.22,1968
Streptanthus_tortuosus,39.09,-120.92,1969
